"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"8d1309ddc1ea7f4d8b54fb3ad5498521","k__Bacteria"," p__Bacteroidetes"," c__Sphingobacteriia"," o__Sphingobacteriales"," f__Sphingobacteriaceae"," g__Parapedobacter"," s__"
"0ee873eaddb4f2072b4b53b2555bce30","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rickettsiales"," f__mitochondria"," g__"," s__"
"63b21f63b886683062ec05c823196e0d","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Oceanospirillales"," f__Halomonadaceae"," g__Halomonas"," s__"
"9c487e0033e727da99892cbd50245960","k__Bacteria"," p__Bacteroidetes"," c__Sphingobacteriia"," o__Sphingobacteriales"," f__Sphingobacteriaceae"," g__Sphingobacterium"," s__multivorum"
"5f31ec9de9b5c187179defe2318a7a0f","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Nocardioidaceae"," g__Friedmanniella"," s__"
"4cadda99138c7fbf813e6627e13445da","k__Bacteria"," p__Proteobacteria"," c__Betaproteobacteria","o__","f__","g__","s__"
"fba1e1ee160941e823fdce4f82908924","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhodospirillales"," f__Acetobacteraceae"," g__"," s__"
"09221b495caa61c8ae3d38ac53c24a30","k__Bacteria"," p__Cyanobacteria"," c__Oscillatoriophycideae"," o__Chroococcales"," f__Xenococcaceae","g__","s__"
"881edf7b4291a0e6303de6280bac716e","k__Bacteria"," p__Bacteroidetes"," c__[Saprospirae]"," o__[Saprospirales]"," f__Chitinophagaceae"," g__"," s__"
"5cfe71acc83357896cf2018db2b407d7","k__Bacteria"," p__Acidobacteria"," c__Acidobacteria-6"," o__iii1-15"," f__"," g__"," s__"
"74660786e475f6b369a9be9a00e73af1","k__Bacteria"," p__OD1"," c__"," o__"," f__"," g__"," s__"
"7d662884d0c1897cdb526c22b10f17ab","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Propionibacteriaceae"," g__"," s__"
"f1ba945e0d328829bb109b9dd6c12a0a","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Bifidobacteriales"," f__Bifidobacteriaceae"," g__Bifidobacterium"," s__"
"735ddeebdfbba12cd41861ccbfa8b356","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales","f__","g__","s__"
"74ad61459008652b300c0fbc26042578","k__Bacteria"," p__OD1"," c__"," o__"," f__"," g__"," s__"
"278c733a22cdd4afa401f77df471b0c0","k__Bacteria"," p__"," c__"," o__"," f__"," g__"," s__"
"2c20a3f496cf358745ddb88c52d699dc","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rickettsiales"," f__mitochondria"," g__"," s__"
"4003817bae99f17569c8aa309de94ca3","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Beijerinckiaceae"," g__"," s__"
"efd992347c5bd00f9dc643ab8fa72675","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Clostridiaceae"," g__Clostridium"," s__celatum"
"e7b0c4dbabf2699570a1973de9e9a2a4","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Microbacteriaceae"," g__Agromyces"," s__mediolanus"
"2093cc7cb7d83b69e4a43c2112900b60","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Enterococcaceae"," g__Enterococcus"," s__"
"f7b6a1c20f0a489e45d992f864a09534","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Pseudomonas","s__"
"f002c991870214fe6de0e21e5225c9ef","k__Bacteria"," p__Chloroflexi"," c__TK17"," o__mle1-48"," f__"," g__"," s__"
"dc97ea87bf22c25711f31df39ead0099","k__Bacteria"," p__Actinobacteria"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__"," g__"," s__"
"0a5c3680b55b2d9cf30eec3fedbe95eb","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Clostridiaceae"," g__Proteiniclasticum"," s__"
"549edca592e539dffa5f039312e5d5ca","k__Bacteria"," p__Proteobacteria"," c__Deltaproteobacteria"," o__Myxococcales"," f__"," g__"," s__"
