ID,Site,Object,Density
sample-226,75,Conveyor,Low
sample-230,76,Hose,Medium
sample-229,76,Hose,Low
sample-479,77,Drain,Medium
sample-232,77,Drain,Medium
sample-234,78,Non-FPE Structure,Low
sample-241,79,Non-FPE Structure,High
sample-242,80,FPE Structure,Low
sample-244,80,FPE Structure,Medium
sample-243,80,FPE Structure,High
sample-482,81,Floor Object,High
sample-251,81,Floor Object,High
sample-253,81,Floor Object,Medium
sample-254,82,Fan/Vent,Low
sample-255,82,Fan/Vent,Low
sample-483,83,Forklift/Pallet Jack,Medium
sample-259,83,Forklift/Pallet Jack,Medium
sample-258,83,Forklift/Pallet Jack,Medium
sample-96,84,Drain,Low
sample-97,84,Drain,Medium
sample-99,85,FPE Structure,Medium
sample-274,86,Floor Object,High
sample-110,87,Non-FPE Structure,Medium
sample-277,88,Conveyor,Low
sample-278,89,Conveyor,Low
sample-279,90,Conveyor,Low
sample-120,91,Non-FPE Structure,Low
sample-140,92,Wall/Ceiling,Medium
sample-144,93,Floor Object,High
sample-145,93,Floor Object,High
sample-283,93,Floor Object,High
sample-360,94,Drain,High
sample-359,94,Drain,High
sample-390,95,Forklift/Pallet Jack,High
sample-392,95,Forklift/Pallet Jack,High
sample-399,96,Forklift/Pallet Jack,Medium
sample-401,96,Forklift/Pallet Jack,High
sample-402,97,Door,Low
sample-403,97,Door,Low
sample-404,98,Drain,High
sample-406,98,Drain,High
sample-405,98,Drain,High
sample-284,99,Hose,High
sample-408,99,Hose,High
sample-285,100,Hose,Medium
sample-287,100,Hose,High
sample-286,100,Hose,High
sample-290,101,Non-FPE Structure,High
sample-291,102,Fan/Vent,Medium
sample-293,102,Fan/Vent,Low
sample-292,102,Fan/Vent,Medium
sample-294,103,FPE Structure,Medium
sample-296,103,FPE Structure,Low
sample-295,103,FPE Structure,High
sample-299,104,Floor Object,High
sample-298,104,Floor Object,Low
sample-301,105,Non-FPE Structure,Low
sample-302,106,Floor Object,Low
sample-303,106,Floor Object,Medium
sample-307,107,Wall/Ceiling,Low
sample-310,108,Fan/Vent,Low
sample-311,109,Drain,Medium
sample-312,109,Drain,High
sample-314,110,Door,Medium
sample-316,110,Door,Medium
sample-317,111,Cart/Rolling Bins,Low
sample-318,112,Hose,Medium
sample-320,113,Floor Object,Low
sample-322,113,Floor Object,Low
sample-321,113,Floor Object,Medium
sample-323,114,FPE Structure,Low
sample-326,115,Hose,Low
sample-328,115,Hose,Medium
sample-327,115,Hose,Low
sample-331,116,Hose,Medium
sample-330,116,Hose,Medium
sample-332,117,FPE Structure,High
sample-333,117,FPE Structure,Medium
sample-337,118,Floor Object,Medium
sample-339,119,Cart/Rolling Bins,Medium
sample-340,120,FPE Structure,High
sample-343,121,Non-FPE Structure,Low
sample-344,121,Non-FPE Structure,Low
sample-346,122,Drain,High
sample-349,123,Wall/Ceiling,Medium
sample-351,123,Wall/Ceiling,Medium
sample-350,123,Wall/Ceiling,High
sample-352,124,Non-FPE Structure,Low
sample-353,124,Non-FPE Structure,Low
sample-354,125,Door,Low
sample-355,126,Forklift/Pallet Jack,High
sample-357,126,Forklift/Pallet Jack,High
sample-356,126,Forklift/Pallet Jack,Medium
sample-361,127,Cart/Rolling Bins,Medium
sample-363,127,Cart/Rolling Bins,Low
sample-362,127,Cart/Rolling Bins,High
sample-502,128,Cart/Rolling Bins,Medium
sample-364,128,Cart/Rolling Bins,High
sample-366,128,Cart/Rolling Bins,High
sample-367,129,Drain,Medium
sample-369,129,Drain,High
sample-368,129,Drain,Medium
sample-370,130,Forklift/Pallet Jack,High
sample-372,130,Forklift/Pallet Jack,High
sample-505,131,Floor Object,Medium
sample-373,131,Floor Object,Low
sample-374,131,Floor Object,Medium
sample-375,132,Conveyor,Low
sample-377,132,Conveyor,High
sample-376,132,Conveyor,Low
sample-378,133,Drain,High
sample-380,133,Drain,High
sample-379,133,Drain,High
sample-383,134,Door,Low
sample-384,135,Door,Medium
sample-386,135,Door,Medium
sample-387,136,Fan/Vent,Low
sample-388,136,Fan/Vent,Medium
sample-511,137,Fan/Vent,Low
sample-393,137,Fan/Vent,Low
sample-394,137,Fan/Vent,Low
sample-396,138,FPE Structure,Low
sample-409,139,Non-FPE Structure,Low
sample-410,140,Conveyor,Low
sample-411,141,Conveyor,Low
sample-111,142,Drain,High
sample-116,143,Drain,High
sample-413,143,Drain,High
sample-121,144,Conveyor,Low
sample-122,144,Conveyor,High
sample-126,145,Conveyor,High
sample-415,145,Conveyor,Medium
sample-131,146,Floor Object,High
sample-416,146,Floor Object,Medium
sample-136,147,Floor Object,Medium
sample-137,147,Floor Object,High
sample-142,148,Door,Low
