"","sample.id","Original.id","Location.Sample.date","Facility","Year","Season","Production","Room","Object","Touch","Soil","Surface","Moisture","Risk","Untrimmed_reads","Trimmed_reads","APC","YM","CVTA","APC_log","CVTA_log","YM_log","keep","APC_bin"
"105","sample-478","41","NL.41.1","North Lawrence",2022,"Summer","During","Filling","Conveyor","No","Yes","Continuous","Dry","two",174171,137845,1000,115000,0,3,0,5.06069784035361,TRUE,"Low"
"20","sample-84","E10","B.E10.4","Batavia",2023,"Spring","During","Post-Pasteurization ","Non-FPE Structure","No","Yes","Continuous","Damp","three",203209,168781,0,0,0,0,0,0,TRUE,"Low"
"30","sample-123","E5","B.E5.2","Batavia",2022,"Fall","During","Warehouse","Door","No","Yes","Continuous","Grime","three",204252,168408,575,1900,300,2.75966784468963,2.47712125471966,3.27875360095283,TRUE,"Low"
"75","sample-322","24","WS.24.3","West Seneca",2023,"Winter","During","Post-Pasteurization ","Floor Object","No","Yes","Grid","Dry","three",202248,172837,480,0,40,2.68124123737559,1.60205999132796,0,TRUE,"Low"
"13","sample-53","29","B.29.3","Batavia",2023,"Winter","During","Warehouse","Cleaning Tools","No","Yes","Spiked","Dry","three",203562,168749,240,400,400,2.38021124171161,2.60205999132796,2.60205999132796,TRUE,"Low"
"17","sample-72","5","B.05.2","Batavia",2022,"Fall","During","Raw","Door","No","Yes","Continuous","Dry","three",205406,164682,340,0,10,2.53147891704225,1,0,TRUE,"Low"
"94","sample-402","7","WS.07.2","West Seneca",2022,"Fall","During","Warehouse","Door","No","Yes","Continuous","Dry","three",203280,169043,0,0,0,0,0,0,TRUE,"Low"
"98","sample-411","E11","WS.E11.4","West Seneca",2023,"Spring","During","Filling","Conveyor","No","Yes","Continuous","Damp","three",214313,177140,1000,0,0,3,0,0,TRUE,"Low"
"12","sample-51","28","B.28.3","Batavia",2023,"Winter","During","Warehouse","Floor Object","No","Yes","Continuous","Dry","three",203760,166551,680,0,0,2.83250891270624,0,0,TRUE,"Low"
"10","sample-48","27","B.27.3","Batavia",2023,"Winter","During","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",201979,166708,0,5600,34400,0,4.53655844257153,3.7481880270062,TRUE,"Low"
"22","sample-92","E9","B.E9.4","Batavia",2023,"Spring","During","Post-Pasteurization ","FPE Structure","No","Yes","Continuous","Dry","two",206507,168253,200,0,0,2.30102999566398,0,0,TRUE,"Low"
"45","sample-209","36","NL.36.2","North Lawrence",2022,"Fall","During","Filling","FPE Structure","No","Yes","Continuous","Dry","two",203183,172069,635,14200,0,2.80277372529198,0,4.15228834438306,TRUE,"Low"
"92","sample-394","50","WS.50.4","West Seneca",2023,"Spring","During","Warehouse","Fan/Vent","No","Yes","Grille","Dry","three",217493,174275,560,400,0,2.7481880270062,0,2.60205999132796,TRUE,"Low"
"86","sample-375","45","WS.45.2","West Seneca",2022,"Fall","During","Filling","Conveyor","No","None","Continuous","Wet","two",107673,91279,140,100,50,2.14612803567824,1.69897000433602,2,TRUE,"Low"
"71","sample-307","18","WS.18.2","West Seneca",2022,"Fall","During","Warehouse","Wall/Ceiling","No","Yes","Continuous","Dry","three",204918,171544,15,46200,0,1.17609125905568,0,4.66464197555613,TRUE,"Low"
"66","sample-296","13","WS.13.3","West Seneca",2023,"Winter","During","Raw","FPE Structure","No","Yes","Continuous","Condensate","two",119347,99152,840,2400,0,2.92427928606188,0,3.38021124171161,TRUE,"Low"
"91","sample-393","50","WS.50.2","West Seneca",2022,"Fall","During","Warehouse","Fan/Vent","No","Yes","Grille","Dry","three",179798,148017,0,0,0,0,0,0,TRUE,"Low"
"4","sample-28","2","B.02.2","Batavia",2022,"Fall","During","Raw","Hose","No","Yes","Continuous","Dry","two",205805,166044,20,0,0,1.30102999566398,0,0,TRUE,"Low"
"40","sample-200","31","NL.31.2","North Lawrence",2022,"Fall","During","Filling","Door","No","Yes","Continuous","Damp","three",288909,255405,335,550,1250,2.52504480703685,3.09691001300806,2.74036268949424,TRUE,"Low"
"52","sample-225","41","NL.41.2","North Lawrence",2022,"Fall","During","Filling","Conveyor","No","Yes","Continuous","Dry","two",204246,167197,30,0,0,1.47712125471966,0,0,TRUE,"Low"
"100","sample-446","32A","B.32A.1","Batavia",2022,"Summer","Before","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",166904,134647,490,50,100,2.69019608002851,2,1.69897000433602,TRUE,"Low"
"68","sample-301","15","WS.15.4","West Seneca",2023,"Spring","During","Warehouse","Non-FPE Structure","No","Yes","Grille","Dry","three",218472,177046,80,320000,0,1.90308998699194,0,5.50514997831991,TRUE,"Low"
"73","sample-317","22","WS.22.2","West Seneca",2022,"Fall","During","Post-Pasteurization ","Cart/Rolling Bins","No","Yes","Continuous","Dry","three",206560,173877,0,0,400,0,2.60205999132796,0,TRUE,"Low"
"62","sample-277","E20","NL.E20.4","North Lawrence",2023,"Spring","During","Filling","Conveyor","No","","Continuous","Dry","two",202392,164594,760,0,0,2.88081359228079,0,0,TRUE,"Low"
"60","sample-260","6","NL.06.2","North Lawrence",2022,"Fall","During","Warehouse","Non-FPE Structure","Yes","Yes","Continuous","Dry","three",200369,164250,240,0,0,2.38021124171161,0,0,TRUE,"Low"
"32","sample-142","E8","WS.E8.3","West Seneca",2023,"Winter","During","Post-Pasteurization ","Door","No","Yes","Continuous","Dry","three",113281,100822,600,0,0,2.77815125038364,0,0,TRUE,"Low"
"93","sample-396","51","WS.51.2","West Seneca",2022,"Fall","During","Post-Pasteurization ","FPE Structure","No","Yes","Continuous","Condensate","two",203930,171855,95,0,0,1.97772360528885,0,0,TRUE,"Low"
"41","sample-201","31","NL.31.3","North Lawrence",2023,"Winter","During","Filling","Door","No","Yes","Continuous","Damp","three",203876,173186,200,0,0,2.30102999566398,0,0,TRUE,"Low"
"18","sample-75","6","B.06.2","Batavia",2022,"Fall","During","Raw","Floor Object","No","None","Spiked","Dry","three",235194,203175,35,0,0,1.54406804435028,0,0,TRUE,"Low"
"90","sample-387","49","WS.49.2","West Seneca",2022,"Fall","During","Warehouse","Fan/Vent","No","Yes","Grille","Dry","three",186842,155266,330,600,150,2.51851393987789,2.17609125905568,2.77815125038364,TRUE,"Low"
"15","sample-66","33","B.33.2","Batavia",2022,"Fall","During","Warehouse","Door","No","Yes","Continuous","Dry","three",202144,163535,700,105000,35000,2.84509804001426,4.54406804435028,5.02118929906994,TRUE,"Low"
"74","sample-320","24","WS.24.2","West Seneca",2022,"Fall","During","Post-Pasteurization ","Floor Object","No","Yes","Grid","Dry","three",203319,172690,275,0,50,2.43933269383026,1.69897000433602,0,TRUE,"Low"
"3","sample-22","18","B.18.2","Batavia",2022,"Fall","During","Filling","Wall/Ceiling","No","Yes","Continuous","Dry","three",217662,176046,95,0,0,1.97772360528885,0,0,TRUE,"Low"
"83","sample-354","38","WS.38.2","West Seneca",2022,"Fall","During","Filling","Door","No","Yes","Continuous","Dry","three",203170,170720,0,0,100,0,2,0,TRUE,"Low"
