"","X","sample.id","Original.id","Location.Sample.date","Facility","Year","Season","Production","Room","Object","APC","APC_log","keep","APC_bin"
"398",159,"sample-165","14","NL.14.2","Facility 3",2022,"Fall","During","Post-Pasteurization ","Floor Object",8500000,6.92941892571429,FALSE,"High"
"399",160,"sample-166","14","NL.14.4","Facility 3",2023,"Spring","During","Post-Pasteurization ","Floor Object",4.97e+08,8.69635638873333,TRUE,"High"
"400",161,"sample-167","14","NL.14.3","Facility 3",2023,"Winter","During","Post-Pasteurization ","Floor Object",1e+06,6,TRUE,"High"
"401",168,"sample-174","2","NL.02.4","Facility 3",2023,"Spring","During","Raw","Non-FPE Structure",98400000,7.99299509843134,TRUE,"High"
"402",169,"sample-175","2","NL.02.3","Facility 3",2023,"Winter","During","Raw","Non-FPE Structure",1560000,6.19312459835446,FALSE,"High"
"403",174,"sample-180","22","NL.22.4","Facility 3",2023,"Spring","During","Filling","Drain",592000,5.77232170672292,TRUE,"High"
"404",180,"sample-186","24","NL.24.3","Facility 3",2023,"Winter","During","Filling","Conveyor",152000,5.18184358794477,TRUE,"High"
"405",190,"sample-196","3","NL.03.4","Facility 3",2023,"Spring","During","Warehouse","Forklift/Pallet Jack",3e+05,5.47712125471966,FALSE,"High"
"406",191,"sample-197","3","NL.03.3","Facility 3",2023,"Winter","During","Warehouse","Forklift/Pallet Jack",588000,5.76937732607614,TRUE,"High"
"407",201,"sample-207","34","NL.34.3","Facility 3",2023,"Winter","During","Filling","FPE Structure",120000,5.07918124604763,TRUE,"High"
"408",215,"sample-221","4","NL.04.3","Facility 3",2023,"Winter","During","Warehouse","Forklift/Pallet Jack",356000,5.55144999797287,TRUE,"High"
"409",217,"sample-223","40","NL.40.4","Facility 3",2023,"Spring","During","Filling","Drain",6160000,6.78958071216443,TRUE,"High"
"410",225,"sample-231","43","NL.43.2","Facility 3",2022,"Fall","During","Filling","Drain",8700000,6.93951925261862,FALSE,"High"
"411",227,"sample-233","43","NL.43.3","Facility 3",2023,"Winter","During","Filling","Drain",128000,5.10720996964787,TRUE,"High"
"412",230,"sample-236","44","NL.44.3","Facility 3",2023,"Winter","During","Filling","Non-FPE Structure",13600000,7.13353890837022,FALSE,"High"
"413",235,"sample-241","46","NL.46.3","Facility 3",2023,"Winter","During","Filling","Non-FPE Structure",3e+05,5.47712125471966,TRUE,"High"
"414",237,"sample-243","47","NL.47.4","Facility 3",2023,"Spring","During","Filling","FPE Structure",440000,5.64345267648619,TRUE,"High"
"415",243,"sample-249","5","NL.05.4","Facility 3",2023,"Spring","During","Warehouse","Floor Object",140000,5.14612803567824,TRUE,"High"
"416",244,"sample-250","5","NL.05.3","Facility 3",2023,"Winter","During","Warehouse","Cleaning Tools",112000,5.04921802267018,FALSE,"High"
"417",245,"sample-251","50","NL.50.2","Facility 3",2022,"Fall","During","Warehouse","Floor Object",1180000,6.07188200730613,TRUE,"High"
"418",257,"sample-263","7","NL.07.2","Facility 3",2022,"Fall","During","Warehouse","Door",4400000,6.64345267648619,TRUE,"High"
"419",258,"sample-264","7","NL.07.4","Facility 3",2023,"Spring","During","Warehouse","Door",764000,5.88309335857569,FALSE,"High"
"420",259,"sample-265","7","NL.07.3","Facility 3",2023,"Winter","During","Warehouse","Door",18400000,7.26481782300954,TRUE,"High"
"421",260,"sample-266","8","NL.08.2","Facility 3",2022,"Fall","During","Post-Pasteurization ","Floor Object",2200000,6.34242268082221,TRUE,"High"
"422",261,"sample-267","8","NL.08.4","Facility 3",2023,"Spring","During","Post-Pasteurization ","Floor Object",87200000,7.94051648493257,TRUE,"High"
"423",262,"sample-268","8","NL.08.3","Facility 3",2023,"Winter","During","Post-Pasteurization ","Floor Object",85200000,7.9304395947667,TRUE,"High"
"424",264,"sample-270","9","NL.09.3","Facility 3",2023,"Winter","During","Post-Pasteurization ","Non-FPE Structure",416000,5.61909333062674,TRUE,"High"
"425",268,"sample-274","E13","NL.E13.4","Facility 3",2023,"Spring","During","Filling","Floor Object",948000,5.97680833733807,TRUE,"High"
"426",277,"sample-283","E9","NL.E9.4","Facility 3",2023,"Spring","During","Warehouse","Floor Object",1160000,6.06445798922692,TRUE,"High"
"427",278,"sample-284","9","WS.09.2","Facility 1",2022,"Fall","During","Raw","Hose",7e+06,6.84509804001426,TRUE,"High"
"428",280,"sample-286","10","WS.10.4","Facility 1",2023,"Spring","During","Raw","Hose",1.24e+09,9.09342168516224,TRUE,"High"
"429",281,"sample-287","10","WS.10.3","Facility 1",2023,"Winter","During","Raw","Hose",212000,5.32633586092875,TRUE,"High"
"430",282,"sample-288","11","WS.11.2","Facility 1",2022,"Fall","During","Raw","Non-FPE Structure",28800000,7.45939248775923,TRUE,"High"
"431",283,"sample-289","11","WS.11.4","Facility 1",2023,"Spring","During","Raw","Non-FPE Structure",2800000,6.44715803134222,FALSE,"High"
"432",284,"sample-290","11","WS.11.3","Facility 1",2023,"Winter","During","Raw","Non-FPE Structure",80400000,7.90525604874845,TRUE,"High"
"433",289,"sample-295","13","WS.13.4","Facility 1",2023,"Spring","During","Raw","FPE Structure",172000,5.23552844690755,TRUE,"High"
"434",293,"sample-299","14","WS.14.3","Facility 1",2023,"Winter","During","Warehouse","Floor Object",308000,5.48855071650044,TRUE,"High"
"435",306,"sample-312","20","WS.20.4","Facility 1",2023,"Spring","During","Post-Pasteurization ","Drain",108000,5.03342375548695,TRUE,"High"
"436",307,"sample-313","20","WS.20.3","Facility 1",2023,"Winter","During","Post-Pasteurization ","Drain",892000,5.95036485437612,FALSE,"High"
"437",319,"sample-325","25","WS.25.3","Facility 1",2023,"Winter","During","Post-Pasteurization ","FPE Structure",632000,5.80071707828238,FALSE,"High"
"438",326,"sample-332","28","WS.28.2","Facility 1",2022,"Fall","During","Post-Pasteurization ","FPE Structure",5350000,6.72835378202123,TRUE,"High"
"439",328,"sample-334","28","WS.28.3","Facility 1",2023,"Winter","During","Post-Pasteurization ","FPE Structure",768000,5.88536122003151,FALSE,"High"
"440",334,"sample-340","31","WS.31.2","Facility 1",2022,"Fall","During","Post-Pasteurization ","FPE Structure",159000,5.20139712432045,TRUE,"High"
"441",336,"sample-342","31","WS.31.3","Facility 1",2023,"Winter","During","Post-Pasteurization ","FPE Structure",172000,5.23552844690755,TRUE,"High"
"442",340,"sample-346","35","WS.35.2","Facility 1",2022,"Fall","During","Post-Pasteurization ","Drain",1.5e+07,7.17609125905568,TRUE,"High"
"443",341,"sample-347","35","WS.35.4","Facility 1",2023,"Spring","During","Post-Pasteurization ","Drain",9.8e+08,8.9912260756925,FALSE,"High"
"444",342,"sample-348","35","WS.35.3","Facility 1",2023,"Winter","During","Post-Pasteurization ","Drain",1.36e+09,9.13353890837022,TRUE,"High"
"445",344,"sample-350","36","WS.36.4","Facility 1",2023,"Spring","During","Post-Pasteurization ","Wall/Ceiling",184000,5.26481782300954,TRUE,"High"
"446",349,"sample-355","39","WS.39.2","Facility 1",2022,"Fall","During","Filling","Forklift/Pallet Jack",5800000,6.76342799356294,TRUE,"High"
"447",351,"sample-357","39","WS.39.3","Facility 1",2023,"Winter","During","Filling","Forklift/Pallet Jack",2e+07,7.30102999566398,TRUE,"High"
"448",352,"sample-358","4","WS.04.2","Facility 1",2022,"Fall","During","Warehouse","Drain",3750000,6.57403126772772,TRUE,"High"
"449",353,"sample-359","4","WS.04.4","Facility 1",2023,"Spring","During","Warehouse","Drain",1.3e+08,8.11394335230684,TRUE,"High"
"450",354,"sample-360","4","WS.04.3","Facility 1",2023,"Winter","During","Warehouse","Drain",6.99e+08,8.84447717574568,TRUE,"High"
"451",356,"sample-362","40","WS.40.4","Facility 1",2023,"Spring","During","Filling","Cart/Rolling Bins",2110000,6.32428245529769,TRUE,"High"
"452",358,"sample-364","41","WS.41.2","Facility 1",2022,"Fall","During","Filling","Cart/Rolling Bins",364000,5.56110138364906,TRUE,"High"
"453",360,"sample-366","41","WS.41.3","Facility 1",2023,"Winter","During","Filling","Cart/Rolling Bins",136000,5.13353890837022,TRUE,"High"
"454",363,"sample-369","42","WS.42.3","Facility 1",2023,"Winter","During","Filling","Drain",59600000,7.77524625974024,TRUE,"High"
"455",364,"sample-370","43","WS.43.2","Facility 1",2022,"Fall","During","Filling","Forklift/Pallet Jack",2050000,6.31175386105575,TRUE,"High"
"456",365,"sample-371","43","WS.43.4","Facility 1",2023,"Spring","During","Filling","Forklift/Pallet Jack",37200000,7.5705429398819,FALSE,"High"
"457",366,"sample-372","43","WS.43.3","Facility 1",2023,"Winter","During","Filling","Forklift/Pallet Jack",1e+05,5,TRUE,"High"
"458",371,"sample-377","45","WS.45.3","Facility 1",2023,"Winter","During","Filling","Conveyor",6800000,6.83250891270624,TRUE,"High"
"459",372,"sample-378","46","WS.46.2","Facility 1",2022,"Fall","During","Warehouse","Drain",15700000,7.19589965240923,TRUE,"High"
"460",373,"sample-379","46","WS.46.4","Facility 1",2023,"Spring","During","Warehouse","Drain",24800000,7.39445168082622,TRUE,"High"
"461",374,"sample-380","46","WS.46.3","Facility 1",2023,"Winter","During","Warehouse","Drain",1.8e+07,7.25527250510331,TRUE,"High"
"462",384,"sample-390","5","WS.05.2","Facility 1",2022,"Fall","During","Warehouse","Forklift/Pallet Jack",250000,5.39794000867204,TRUE,"High"
"463",385,"sample-391","5","WS.05.4","Facility 1",2023,"Spring","During","Warehouse","Forklift/Pallet Jack",27200000,7.4345689040342,FALSE,"High"
"464",386,"sample-392","5","WS.05.3","Facility 1",2023,"Winter","During","Warehouse","Forklift/Pallet Jack",98400000,7.99299509843134,TRUE,"High"
"465",394,"sample-400","6","WS.06.4","Facility 1",2023,"Spring","During","Warehouse","Forklift/Pallet Jack",4720000,6.67394199863409,FALSE,"High"
"466",395,"sample-401","6","WS.06.3","Facility 1",2023,"Winter","During","Warehouse","Forklift/Pallet Jack",9720000,6.98766626492627,TRUE,"High"
"467",398,"sample-404","8","WS.08.2","Facility 1",2022,"Fall","During","Raw","Drain",1.13e+08,8.05307844348342,TRUE,"High"
"468",399,"sample-405","8","WS.08.4","Facility 1",2023,"Spring","During","Raw","Drain",7.78e+08,8.89097959698969,TRUE,"High"
"469",400,"sample-406","8","WS.08.3","Facility 1",2023,"Winter","During","Raw","Drain",1.05e+08,8.02118929906994,TRUE,"High"
"470",401,"sample-407","9","WS.09.4","Facility 1",2023,"Spring","During","Raw","Hose",23200000,7.3654879848909,FALSE,"High"
"471",402,"sample-408","9","WS.09.3","Facility 1",2023,"Winter","During","Raw","Hose",8.1e+08,8.90848501887865,TRUE,"High"
"472",406,"sample-412","E2","WS.E2.4","Facility 1",2023,"Spring","During","Warehouse","Drain",1.2e+09,9.07918124604763,FALSE,"High"
"473",407,"sample-413","E3","WS.E3.4","Facility 1",2023,"Spring","During","Warehouse","Drain",6.05e+08,8.78175537465247,TRUE,"High"
"474",408,"sample-414","E4","WS.E4.4","Facility 1",2023,"Spring","During","Warehouse","Conveyor",776000,5.88986172125819,FALSE,"High"
"475",411,"sample-417","E7","WS.E7.4","Facility 1",2023,"Spring","During","Raw","Floor Object",19200000,7.28330122870355,FALSE,"High"
