"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"c27cb0729d4f509981b7107aaa38d33d","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Micrococcaceae"," g__Nesterenkonia"," s__"
"d39f471d2f1e264d558c4d46a041724e","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Micrococcaceae"," g__Nesterenkonia"," s__"
"2abd8fa5d63afd4acd7103f99e940488","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Pseudomonas","s__"
"317a575649f33ed32f7787268da3d2f1","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Streptococcaceae"," g__Streptococcus","s__"
"bd323ae18c05ef24ddf56667c04faecd","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Methylobacteriaceae"," g__"," s__"
"76eaefc0853cef48675b0a3f8a8cca3e","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Pseudomonas","s__"
"f578aa001934ef5d776fa154f03d7927","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Pseudomonas"," s__viridiflava"
"abddb9b2c3158897c75fa096869854ac","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Aeromonadales"," f__Aeromonadaceae"," g__Aeromonas","s__"
"634efcf88edb15a402b11b8749647727","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Enterobacteriales"," f__Enterobacteriaceae","g__","s__"
"ef289d460d88b8bf99288c9ccafa3de4","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Nocardiaceae"," g__Rhodococcus"," s__fascians"
"139b3a842bac5a67836f791535c71ed2","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Methylobacteriaceae"," g__Methylobacterium","s__"
"f3fc84cb70e4d3cce184d4eeae9e433a","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Enterobacteriales"," f__Enterobacteriaceae","g__","s__"
"76fe98ace4224467f237a1432f71fc36","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Enterobacteriales"," f__Enterobacteriaceae"," g__Serratia"," s__marcescens"
"4c55976e7d6566f3571cd0075bc51aae","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Pseudomonas","s__"
"a4593eb895b7fec6240d21d3aeda9a86","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Pseudomonas"," s__mendocina"
"1d3069c72e6247503677e95b082566a1","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Aerococcaceae"," g__Aerococcus"," s__"
"e061c7daecc56b427bf8c22e6d1d107f","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," g__Acinetobacter"," s__"
"ce2ebf48a28bfc9dcb6a94294816fbd5","k__Bacteria"," p__Proteobacteria"," c__Betaproteobacteria"," o__Burkholderiales"," f__Burkholderiaceae"," g__Burkholderia"," s__"
"fcad212ec9ca292f4e0f19dbad8caec4","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Bacillaceae"," g__Bacillus"," s__flexus"
"1cb43385c3e451cf91dbb159561e16b2","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__[Exiguobacteraceae]"," g__Exiguobacterium"," s__"
"1f06e53f2426898d97c460af017505de","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Oceanospirillales"," f__Halomonadaceae"," g__Halomonas"," s__campisalis"
"ec66cc508688c21839c3367bce612ae4","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Enterobacteriales"," f__Enterobacteriaceae","g__","s__"
"939aeb8878169f64a49619412a2f63b0","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Aeromonadales"," f__Aeromonadaceae"," g__Aeromonas","s__"
"6cb56e3c5ba19029d6f356eaa22449e3","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Enterobacteriales"," f__Enterobacteriaceae","g__","s__"
"2b50ab004308a7f31794bb9fc48aca44","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Carnobacteriaceae"," g__Carnobacterium"," s__"
"90b7259de86ab0d751acad590ccf7612","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Mycobacteriaceae"," g__Mycobacterium"," s__"
"174e7d0c3497d58ba23d7297e0192172","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Micrococcaceae"," g__Kocuria","s__"
"457d8bcebcf3531ba295c479fced9f32","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Pseudomonas","s__"
"e5508e123c5afa0d6c73f5ab314d2892","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Carnobacteriaceae"," g__Trichococcus"," s__"
"f2bb2c3a42fa846ac721e461887fe780","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Pseudomonas","s__"
"3cd52911420890fefd2099553411fdb4","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Aeromonadales"," f__Aeromonadaceae"," g__Aeromonas","s__"
"55c1c9cd620b9bfa600117c0cad3f588","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Enterobacteriales"," f__Enterobacteriaceae","g__","s__"
"a1dd67c7330dadf6d0ed034cc4162aba","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Staphylococcaceae"," g__Staphylococcus"," s__"
"ede43c076fa5b1e240db85a30b486f08","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Alteromonadales"," f__[Chromatiaceae]","g__","s__"
